Sizes of Top 10 communities:
Community 1: 24045 nodes | Most famous artist: Shaggy | Most famous country: cr
Community 2: 13803 nodes | Most famous artist: Interplanetary Criminal | Most famous country: cr
Community 3: 8711 nodes | Most famous artist: Quin Nfn | Most famous country: cr
Community 4: 6998 nodes | Most famous artist: Roberto Jordan | Most famous country: cr
Community 5: 6499 nodes | Most famous artist: Bad Bunny | Most famous country: es
Community 6: 5501 nodes | Most famous artist: Haiti Babii | Most famous country: es
Community 7: 4630 nodes | Most famous artist: Tiagz | Most famous country: es
Community 8: 4489 nodes | Most famous artist: Deftones | Most famous country: es
Community 9: 4462 nodes | Most famous artist: Jah Darko | Most famous country: es
Community 10: 4076 nodes | Most famous artist: Burial | Most famous country: es

Total Communities: 191
